,AUD,CAD,EUR,GBP,JPY,USD
2001-04-01,-0.4350225491838657,-0.42727512031025955,0.19059550531335728,0.25062293546952513,0.45716695697081355,0.23931693275217897
2001-05-01,-0.001355641696543782,-0.32075861292042984,0.7028066080244297,-0.6179464128486306,0.10430471544219493,0.2528280090677711
2001-06-01,-0.10780546953448496,-0.04056940232297984,0.8921599512668835,-0.8019510178279186,0.14615127096391545,0.011362888083817331
2001-07-01,0.34147718350267187,-0.35807580563268726,-0.2988543363808586,0.558470786329223,-0.3073799141143285,-0.1357419740402307
2001-08-01,-0.18019933947604289,-0.09459970795587802,-0.14324679763104287,0.190927420490826,-0.275994237970002,-0.16474623148244338
2001-09-01,-0.42489105134171407,-0.39214981966481144,0.47464080898749395,-0.10022954211240787,0.04147480109444002,0.049859719282531245
2001-10-01,-0.39693775604425263,0.08317311877759037,0.5148090662634627,-0.38572804339038713,-0.12742892926040816,-0.49192308626389897
2001-11-01,-0.41018967865977995,-0.09591641401494139,-0.040371462927482366,0.25341875133363856,0.011797521906728226,-0.08871675896201503
2001-12-01,-0.2774597992537101,-0.6872949353723146,0.5293321444597415,-0.11168269689232052,0.0824476142819665,0.31178280973994704
2002-01-01,-0.1840549773347784,-0.30086971213023894,0.8626977307188136,-0.5064872856509097,0.09987692563354963,0.046013368531709696
2002-02-01,-0.04697500862023438,-0.16013711299559177,0.9041679002758396,-0.7469104405946965,-0.04498119647523966,-0.09682834103839813
2002-04-01,-0.011375088504949392,-0.41525783166677815,0.6933892533669058,-0.5560761675884223,-0.02162626381942731,0.30227539505351675
2002-05-01,0.09042654935707127,0.0821612544511811,0.8109787188414748,-0.5661703109796117,0.06472318400353033,-0.3855399823671305
2002-06-01,0.0038660841556299353,-0.31713483023020306,0.9082025111037895,-0.6189018053611133,-0.001277143570474094,0.1506176255787899
2002-07-01,0.5581510946112788,-0.2811177381451983,0.3637535157670935,-0.33133674885750447,-0.3703745441238932,-0.09526635849503144
2002-08-01,-0.18184276653693085,-0.22700771962244073,0.8077088709045326,-0.5840445754233183,0.11544105213523104,0.08395501537754631
2002-09-01,-0.06541227353826123,-0.27193092997289464,0.8558651224888209,-0.6080249764341814,0.015136640460609868,0.18363005710523236
2002-10-01,-0.13707902648341005,-0.7724275568392215,0.5866782569939771,-0.12174094636033805,0.0310671806959093,0.351007032627144
2002-11-01,-0.20862367286748038,-0.245768531968945,0.7854050915299131,-0.5564497162054347,-0.05097013643663395,-0.1527828509915929
2002-12-01,-0.10212175427641355,0.018783487824552084,0.9824152908356422,-0.8210902184704778,0.008273508774722646,-0.06731573981819165
2003-01-01,0.2181088293687576,-0.11558890665694745,0.633223225508371,-0.41103333284184135,-0.3764567067683901,-0.24558899885569263
2003-02-01,-0.07600674707484316,-0.40230865647484776,0.7214127774317096,-0.5872445566563546,-0.10944559690607343,0.10358166545617126
2003-03-01,0.06727871120693726,-0.24816915873336237,0.5706498517315681,-0.3933700456739816,-0.13468003088101121,-0.06628286982498349
2003-04-01,-0.07445692643787838,-0.24343087159223373,0.8271114946275148,-0.6919778274908465,-0.11835303152914475,-0.044669848322381835
2003-05-01,-0.13322819942040506,-0.1450010874113748,0.4615637433638,-0.2681124011800796,-0.06790506483644165,-0.251721372612064
2003-06-01,-0.16933094479593608,-0.12749467723477478,0.16035584693493263,-0.003226679370729811,-0.032815223471541255,-0.10823282179587498
2003-07-01,-0.15490883844057027,-0.08456779831528313,0.41114500508221813,-0.30149643093941936,0.002157456253657597,-0.06442789667661764
2003-08-01,-0.001502194632143644,-0.13051376858932473,0.8765302242614759,-0.6069318603064863,-0.0839443941320057,-0.3005775580785637
2003-09-01,0.29773371874056503,-0.19471143342298097,0.578234872577237,-0.6400938907655116,-0.17749886298855236,0.11172722150515295
2003-10-01,-0.1289469132570645,-0.33207522894678815,0.8304914362454192,-0.5144064106073855,-0.05679821214841918,-0.1372817987949235
2003-11-01,-0.09304181644871347,-0.1303802787239497,0.8299608972316966,-0.5781706828322586,-0.06669528990311042,-0.30175103486027094
2003-12-01,-0.1559266451431972,0.01901246536275035,0.8196876870893212,-0.5569939653437754,0.061662189599845235,-0.3867170474611104
2004-01-01,-0.3382577597805326,-0.7319540346130075,0.1571148426754439,0.21600650430151233,-0.038344726798386936,0.5183221318311169
2004-02-01,0.15899448560910714,-0.7158066246940968,0.5016934410462753,-0.16025832940233425,-0.33094406611808275,0.1323030531301038
2004-03-01,-0.14857958183134892,-0.45944522750836814,0.6589011013149114,-0.5304215212094567,0.001593728237567476,0.20105883989834705
2004-04-01,0.22172738011970033,-0.697476211533964,-0.19266179267218575,0.19565010782251724,-0.1157496728133964,0.5767348350382363
2004-05-01,-0.1121445978811107,-0.5173617089718103,0.37739180450482046,-0.1354244035443078,-0.1312806234052967,0.15553565682277318
2004-06-01,-0.200716272155417,-0.10586746806924135,0.7779088263921287,-0.7031619509701807,0.1390240719822612,-0.0733214104307709
2004-07-01,-0.3915615850870626,-0.2677409732736301,0.180585906058566,0.08208498736713443,-0.012255116389254195,-0.04244081504881536
2004-08-01,-0.12584987706405648,-0.3619839596902644,0.8059654505563107,-0.5937029283621379,0.0391062175758648,0.07339156675136572
2004-09-01,-0.25239781007615913,-0.14840700300325216,-0.15428589944643809,0.2650342466320004,-0.16568239735719287,-0.16669276508196484
2004-10-01,-0.2325111327552912,-0.06085155062443321,0.8895470656774084,-0.5414692506376771,-0.015582518910368789,-0.26003848139482133
2004-11-01,-0.1906438614632926,-0.09261785818641963,0.7480275952884811,-0.7531817492705881,-0.0762425157432985,-0.13928642004792036
2004-12-01,-0.317944307648735,-0.1660390916028332,0.7784547213329766,-0.3183826476447739,0.03994725458592982,-0.3792319771847514
2005-01-01,-0.36945567096002013,-0.32989966495817236,0.6396141558411752,-0.3938781243649526,0.13581643128729745,0.13133595258838204
2005-02-01,0.24813899186139066,-0.07209767761251815,0.6460316870285527,-0.751696340730377,-0.2284662097164946,-0.05356909305066678
2005-03-01,-0.1614429369792745,-0.6965793508629536,-0.20046116881485979,0.4671354366041494,0.016945809899285198,0.4574352968394774
2005-04-01,0.1207291257158888,-0.11475106256352668,0.8684985452954911,-0.6662827231133194,-0.09045135726032713,-0.13928718605144694
2005-05-01,0.008123818891444132,-0.7864567777989885,0.4222766235887597,-0.2554864089131364,-0.061470702135202726,0.46618566867246847
2005-06-01,-0.11247649768942554,-0.21181184473026682,0.857290156051433,-0.6428714240627187,0.13945282838767029,-0.03609724907848586
2005-07-01,-0.07671638431425651,-0.15394558753629026,0.9485817912063884,-0.6358023441040944,-0.08736906645127297,-0.09758482638769758
2005-08-01,-0.32433755198931175,-0.5549630204037778,0.6103818508725218,-0.13527774874358645,-0.1836841714600763,-0.19135565653072556
2005-09-01,-0.1220343577833807,-0.32375895844661456,0.8500305616295292,-0.5517802712966092,0.03305339342382275,-0.11934245742004353
2005-10-01,-0.12538504613912377,-0.15636734196783456,0.8907634572814921,-0.5914580484802625,-0.0682661165764674,-0.16775998955481936
2005-11-01,-0.1387111223312557,-0.09976922106487555,0.9319681567683512,-0.7552302293137129,0.03230212785786953,0.042019142663935125
2005-12-01,-0.17463534538027248,0.0036113076909976205,0.872982045228793,-0.5813407246076091,0.04006929614737678,-0.327361280944951
2006-01-01,-0.07758345273571127,-0.21126435223576934,0.4476400264237762,-0.3465403441217045,-0.1301272569816418,-0.04595740239400753
2006-02-01,-0.3935819514407934,-0.550135541092797,0.2742199636721555,0.28751593696052935,0.18731326812075633,-0.10901416047656642
2006-03-01,-0.1498378348214743,0.02710985027475114,0.797709202984373,-0.7845140440825605,0.14110522670371048,-0.09972384113313097
2006-04-01,0.02106130163807461,-0.500783616518463,0.5726931589849278,-0.25935796503890984,-0.08956049559681623,-0.050349852641582094
2006-05-01,-0.2680437493073469,-0.24608406971817828,0.8318411822163166,-0.5782950884962423,0.020490083462622363,-0.05524582679929335
2006-06-01,-0.1868200694521801,-0.21008420653870552,0.5844133934011944,-0.500284518648257,-0.044554721471299796,-0.09606256341675812
2006-07-01,-0.19911322964816497,-0.10690326690465568,0.8547955336114412,-0.6664456661506181,-0.02221960089397359,-0.15052270279114677
2006-08-01,-0.10687296286720493,-0.17349988964263233,0.8448908777094741,-0.7125033816376556,0.08024490639127463,-0.08198798175175825
2006-09-01,-0.4131655223233819,-0.03447915923127071,0.7562594356538859,-0.20275135915778525,-0.005320346186975368,-0.5880241774467008
2006-10-01,-0.21408246899281408,-0.28978245142199716,0.8189956703793874,-0.5807598566817067,0.08707414453082138,-0.009305407993273495
